cell,status,ts,host,driver,binary,ananke_rev,label,model,runtime,gpus,ctx,ubatch,batch,parallel,ngl,split,kv_type,kv_unified,flash_attn,n_cpu_moe,mmproj,draft,spec_type,threads,numa,cram,no_mmap,rtr,thp,embeddings,served,soak,concurrency,extra,repeat,arena_mib,out_buf_mib,cpu_kv_mib,cpu_model_mib,cpu_model_mapped,n_layer,n_embd,n_expert,n_expert_used,n_swa,n_vocab,arch,rss_total_kb,rss_anon_kb,rss_file_kb,rss_shmem_kb
17c33a9fc02c,ok,2026-07-27T04:24:06,redline,595.71.05,/nix/store/6rjp5sc83x6mcvasjpx867z0xf028wnz-llama-cpp-cuda-0.0.0/bin/llama-server,7494512,p1-0-layer-f16-srv-np1-c8192,/mnt/ssd0/ai/llm/unsloth/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-UD-Q5_K_XL.gguf,mainline,0,8192,512,,1,99,layer,f16,no,on,,,,,,,0,no,no,no,no,yes,0,1,,0,18.01,0.58,0.0,304.28,yes,36,2560,0,0,0,151936,qwen3,744732,243956,470040,30736
8261816a3592,ok,2026-07-27T04:24:11,redline,595.71.05,/nix/store/6rjp5sc83x6mcvasjpx867z0xf028wnz-llama-cpp-cuda-0.0.0/bin/llama-server,7494512,p1-0-layer-f16-srv-np1-c32768,/mnt/ssd0/ai/llm/unsloth/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-UD-Q5_K_XL.gguf,mainline,0,32768,512,,1,99,layer,f16,no,on,,,,,,,0,no,no,no,no,yes,0,1,,0,42.01,0.58,0.0,304.28,yes,36,2560,0,0,0,151936,qwen3,770060,244772,469976,55312
fc8965660bda,ok,2026-07-27T04:24:17,redline,595.71.05,/nix/store/6rjp5sc83x6mcvasjpx867z0xf028wnz-llama-cpp-cuda-0.0.0/bin/llama-server,7494512,p1-0-layer-f16-srv-np4-c8192,/mnt/ssd0/ai/llm/unsloth/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-UD-Q5_K_XL.gguf,mainline,0,8192,512,,4,99,layer,f16,no,on,,,,,,,0,no,no,no,no,yes,0,1,,0,12.01,2.32,0.0,304.28,yes,36,2560,0,0,0,151936,qwen3,739604,244716,469968,24920
6adeced11ea2,ok,2026-07-27T04:24:23,redline,595.71.05,/nix/store/6rjp5sc83x6mcvasjpx867z0xf028wnz-llama-cpp-cuda-0.0.0/bin/llama-server,7494512,p1-0-layer-f16-srv-np4-c32768,/mnt/ssd0/ai/llm/unsloth/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-UD-Q5_K_XL.gguf,mainline,0,32768,512,,4,99,layer,f16,no,on,,,,,,,0,no,no,no,no,yes,0,1,,0,18.01,2.32,0.0,304.28,yes,36,2560,0,0,0,151936,qwen3,746564,245512,469988,31064
04515e22e47a,ok,2026-07-27T04:24:29,redline,595.71.05,/nix/store/6rjp5sc83x6mcvasjpx867z0xf028wnz-llama-cpp-cuda-0.0.0/bin/llama-server,7494512,p1-0-layer-f16-idle-np1-c8192,/mnt/ssd0/ai/llm/unsloth/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-UD-Q5_K_XL.gguf,mainline,0,8192,512,,1,99,layer,f16,no,on,,,,,,,0,no,no,no,no,no,0,1,,0,18.01,0.58,0.0,304.28,yes,36,2560,0,0,0,151936,qwen3,714864,217132,466996,30736
554806ec4001,ok,2026-07-27T04:24:34,redline,595.71.05,/nix/store/6rjp5sc83x6mcvasjpx867z0xf028wnz-llama-cpp-cuda-0.0.0/bin/llama-server,7494512,p1-0-layer-f16-idle-np1-c32768,/mnt/ssd0/ai/llm/unsloth/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-UD-Q5_K_XL.gguf,mainline,0,32768,512,,1,99,layer,f16,no,on,,,,,,,0,no,no,no,no,no,0,1,,0,42.01,0.58,0.0,304.28,yes,36,2560,0,0,0,151936,qwen3,740204,217932,466960,55312
536eff0ba5df,ok,2026-07-27T04:24:39,redline,595.71.05,/nix/store/6rjp5sc83x6mcvasjpx867z0xf028wnz-llama-cpp-cuda-0.0.0/bin/llama-server,7494512,p1-0-layer-f16-idle-np4-c8192,/mnt/ssd0/ai/llm/unsloth/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-UD-Q5_K_XL.gguf,mainline,0,8192,512,,4,99,layer,f16,no,on,,,,,,,0,no,no,no,no,no,0,1,,0,12.01,2.32,0.0,304.28,yes,36,2560,0,0,0,151936,qwen3,709676,217740,467016,24920
86280a8134e5,ok,2026-07-27T04:24:45,redline,595.71.05,/nix/store/6rjp5sc83x6mcvasjpx867z0xf028wnz-llama-cpp-cuda-0.0.0/bin/llama-server,7494512,p1-0-layer-f16-idle-np4-c32768,/mnt/ssd0/ai/llm/unsloth/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-UD-Q5_K_XL.gguf,mainline,0,32768,512,,4,99,layer,f16,no,on,,,,,,,0,no,no,no,no,no,0,1,,0,18.01,2.32,0.0,304.28,yes,36,2560,0,0,0,151936,qwen3,716580,218524,466992,31064
38aeb333bdba,ok,2026-07-27T04:24:50,redline,595.71.05,/nix/store/6rjp5sc83x6mcvasjpx867z0xf028wnz-llama-cpp-cuda-0.0.0/bin/llama-server,7494512,p1-0-layer-q8_0-srv-np1-c8192,/mnt/ssd0/ai/llm/unsloth/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-UD-Q5_K_XL.gguf,mainline,0,8192,512,,1,99,layer,q8_0,no,on,,,,,,,0,no,no,no,no,yes,0,1,,0,18.09,0.58,0.0,304.28,yes,36,2560,0,0,0,151936,qwen3,755260,253380,471064,30816
71c21f0f223c,ok,2026-07-27T04:24:56,redline,595.71.05,/nix/store/6rjp5sc83x6mcvasjpx867z0xf028wnz-llama-cpp-cuda-0.0.0/bin/llama-server,7494512,p1-0-layer-q8_0-srv-np1-c32768,/mnt/ssd0/ai/llm/unsloth/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-UD-Q5_K_XL.gguf,mainline,0,32768,512,,1,99,layer,q8_0,no,on,,,,,,,0,no,no,no,no,yes,0,1,,0,42.09,0.58,0.0,304.28,yes,36,2560,0,0,0,151936,qwen3,780304,253968,470944,55392
